9th_fuel,8th_fuel
16_05_biogasoline,16_5_biogasoline
16_07_bio_jet_kerosene,16_7_bio_jet_kerosene
16_x_hydrogen,16_x_hydrogen
07_02_aviation_gasoline,7_2_aviation_gasoline
07_x_jet_fuel,7_x_jet_fuel
17_electricity,17_electricity
07_01_motor_gasoline,7_1_motor_gasoline
07_06_kerosene,7_6_kerosene
07_07_gas_diesel_oil,7_7_gas_diesel_oil
07_08_fuel_oil,7_8_fuel_oil
07_09_lpg,7_9_lpg
,7_x_other_petroleum_products
08_01_natural_gas,8_1_natural_gas
16_06_biodiesel,16_6_biodiesel
01_x_thermal_coal,1_x_coal_thermal
16_x_efuel,
16_01_biogas,
07_09_lpg,
16_x_ammonia,
