Drive,Fuel,Supply_side_fuel_mixing,Demand_side_fuel_mixing
ship_electric,17_electricity,FALSE,FALSE
rail_electricity,17_electricity,FALSE,FALSE
phev_g,17_electricity,FALSE,New fuel
phev_d,17_electricity,FALSE,New fuel
bev,17_electricity,FALSE,FALSE
air_electric,17_electricity,FALSE,FALSE
fcev,16_x_hydrogen,FALSE,FALSE
air_hydrogen,16_x_hydrogen,FALSE,FALSE
ship_kerosene,16_x_efuel,New fuel,FALSE
ship_gasoline,16_x_efuel,New fuel,FALSE
ship_diesel,16_x_efuel,New fuel,FALSE
rail_kerosene,16_x_efuel,New fuel,FALSE
rail_gasoline,16_x_efuel,New fuel,FALSE
rail_diesel,16_x_efuel,New fuel,FALSE
phev_g,16_x_efuel,New fuel,FALSE
phev_d,16_x_efuel,New fuel,FALSE
ice_g,16_x_efuel,New fuel,FALSE
ice_d,16_x_efuel,New fuel,FALSE
air_kerosene,16_x_efuel,New fuel,FALSE
air_jet_fuel,16_x_efuel,New fuel,FALSE
air_gasoline,16_x_efuel,New fuel,FALSE
air_diesel,16_x_efuel,New fuel,FALSE
air_av_gas,16_x_efuel,New fuel,FALSE
ship_ammonia,16_x_ammonia,FALSE,FALSE
ship_kerosene,16_07_bio_jet_kerosene,New fuel,FALSE
rail_kerosene,16_07_bio_jet_kerosene,New fuel,FALSE
air_kerosene,16_07_bio_jet_kerosene,New fuel,FALSE
air_jet_fuel,16_07_bio_jet_kerosene,New fuel,FALSE
air_av_gas,16_07_bio_jet_kerosene,New fuel,FALSE
ship_diesel,16_06_biodiesel,New fuel,FALSE
rail_diesel,16_06_biodiesel,New fuel,FALSE
phev_d,16_06_biodiesel,New fuel,FALSE
ice_d,16_06_biodiesel,New fuel,FALSE
air_diesel,16_06_biodiesel,New fuel,FALSE
ship_gasoline,16_05_biogasoline,New fuel,FALSE
rail_gasoline,16_05_biogasoline,New fuel,FALSE
phev_g,16_05_biogasoline,New fuel,FALSE
ice_g,16_05_biogasoline,New fuel,FALSE
air_gasoline,16_05_biogasoline,New fuel,FALSE
ship_lpg,16_01_biogas,New fuel,FALSE
rail_natural_gas,16_01_biogas,New fuel,FALSE
rail_lpg,16_01_biogas,New fuel,FALSE
lpg,16_01_biogas,New fuel,FALSE
cng,16_01_biogas,New fuel,FALSE
air_lpg,16_01_biogas,New fuel,FALSE
rail_natural_gas,08_01_natural_gas,Original fuel,FALSE
cng,08_01_natural_gas,Original fuel,FALSE
air_jet_fuel,07_x_jet_fuel,Original fuel,FALSE
ship_lpg,07_09_lpg,Original fuel,FALSE
rail_lpg,07_09_lpg,Original fuel,FALSE
lpg,07_09_lpg,Original fuel,FALSE
air_lpg,07_09_lpg,Original fuel,FALSE
ship_fuel_oil,07_08_fuel_oil,Original fuel,FALSE
rail_fuel_oil,07_08_fuel_oil,FALSE,FALSE
air_fuel_oil,07_08_fuel_oil,FALSE,FALSE
ship_diesel,07_07_gas_diesel_oil,Original fuel,FALSE
rail_diesel,07_07_gas_diesel_oil,Original fuel,FALSE
phev_d,07_07_gas_diesel_oil,Original fuel,Original fuel
ice_d,07_07_gas_diesel_oil,Original fuel,FALSE
air_diesel,07_07_gas_diesel_oil,Original fuel,FALSE
ship_kerosene,07_06_kerosene,Original fuel,FALSE
rail_kerosene,07_06_kerosene,Original fuel,FALSE
air_kerosene,07_06_kerosene,Original fuel,FALSE
air_av_gas,07_02_aviation_gasoline,Original fuel,FALSE
ship_gasoline,07_01_motor_gasoline,Original fuel,FALSE
rail_gasoline,07_01_motor_gasoline,Original fuel,FALSE
phev_g,07_01_motor_gasoline,Original fuel,Original fuel
ice_g,07_01_motor_gasoline,Original fuel,FALSE
air_gasoline,07_01_motor_gasoline,Original fuel,FALSE
rail_coal,01_x_thermal_coal,FALSE,FALSE
ship_fuel_oil,16_x_efuel,New fuel,FALSE
ship_fuel_oil,16_06_biodiesel,New fuel,FALSE
ship_lng,08_02_lng,Original fuel,FALSE
ship_lng,16_01_biogas,New fuel,FALSE
ship_hydrogen,16_x_hydrogen,FALSE,FALSE
